b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
adv-s497721856-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s497721856-v600,600,497721856,0,1,EMCTS1,b,adv-s497721856-v600,cp505h-v2048,True,6.5,-6.5,8.5,15.0,,19,0,0,365,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/1699746B30810F31-L7.sgfs,1
adv-s497721856-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s497721856-v600,600,497721856,0,1,EMCTS1,b,adv-s497721856-v600,cp505h-v2048,True,6.5,-6.5,100.5,107.0,,19,0,0,503,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/A90E6794DFA32722-L2.sgfs,1
cp505h-v2048,adv-s497721856-v600,b,cp505h-v2048,2048,0,1,MCTS,w,adv-s497721856-v600,600,497721856,0,1,EMCTS1,w,adv-s497721856-v600,cp505h-v2048,True,6.5,6.5,23.5,17.0,,19,0,0,362,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/A1E32217EDBDA9B5-L5.sgfs,1
cp505h-v2048,adv-s497721856-v600,b,cp505h-v2048,2048,0,1,MCTS,w,adv-s497721856-v600,600,497721856,0,1,EMCTS1,w,adv-s497721856-v600,cp505h-v2048,True,6.5,6.5,43.5,37.0,,19,0,0,362,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/79F771D48B203E64-L5.sgfs,1
cp505h-v2048,adv-s497721856-v600,b,cp505h-v2048,2048,0,1,MCTS,w,adv-s497721856-v600,600,497721856,0,1,EMCTS1,w,adv-s497721856-v600,cp505h-v2048,True,6.5,6.5,75.5,69.0,,19,0,0,320,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/FDE67BC4EBF3B925-L6.sgfs,1
cp505h-v2048,adv-s497721856-v600,b,cp505h-v2048,2048,0,1,MCTS,w,adv-s497721856-v600,600,497721856,0,1,EMCTS1,w,adv-s497721856-v600,cp505h-v2048,True,6.5,6.5,159.5,153.0,,19,0,0,382,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/140B61E20958D34E-L2.sgfs,1
adv-s497721856-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s497721856-v600,600,497721856,0,1,EMCTS1,w,cp505h-v2048,adv-s497721856-v600,False,6.5,-6.5,-295.5,-289.0,,19,0,0,430,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/7F4399AD734E5858-L4.sgfs,1
adv-s497721856-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s497721856-v600,600,497721856,0,1,EMCTS1,w,cp505h-v2048,adv-s497721856-v600,False,6.5,-6.5,-203.5,-197.0,,19,0,0,377,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/C67CEC1CBE0D110C-L2.sgfs,1
cp505h-v2048,adv-s497721856-v600,b,cp505h-v2048,2048,0,1,MCTS,w,adv-s497721856-v600,600,497721856,0,1,EMCTS1,b,cp505h-v2048,adv-s497721856-v600,False,6.5,6.5,-230.5,-237.0,,19,0,0,395,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/1D73164FB6B05D12-L9.sgfs,1
cp505h-v2048,adv-s497721856-v600,b,cp505h-v2048,2048,0,1,MCTS,w,adv-s497721856-v600,600,497721856,0,1,EMCTS1,b,cp505h-v2048,adv-s497721856-v600,False,6.5,6.5,-212.5,-219.0,,19,0,0,392,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/2048_visits_hardened/FB9CCDE8CFA30860-L2.sgfs,1
