b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,sgf_path,sgf_line
adv-v8192,cp505-v32,w,cp505-v32,32,0,4,MCTS,b,adv-v8192,8192,0,0,4,EMCTS1,b,adv-v8192,cp505-v32,True,6.5,-6.5,66.5,73.0,,19,0,0,363,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/C2B031C087437008-L2.sgfs,1
cp505-v32,adv-v8192,b,cp505-v32,32,0,4,MCTS,w,adv-v8192,8192,0,0,4,EMCTS1,w,adv-v8192,cp505-v32,True,6.5,6.5,33.5,27.0,,19,0,0,540,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/361F2BB5A2A318AA-L4.sgfs,1
cp505-v32,adv-v8192,b,cp505-v32,32,0,4,MCTS,w,adv-v8192,8192,0,0,4,EMCTS1,w,adv-v8192,cp505-v32,True,6.5,6.5,153.5,147.0,,19,0,0,364,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/42263600CB454546-L4.sgfs,1
adv-v8192,cp505-v32,w,cp505-v32,32,0,4,MCTS,b,adv-v8192,8192,0,0,4,EMCTS1,w,cp505-v32,adv-v8192,False,6.5,-6.5,-299.5,-293.0,,19,0,0,489,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/E318D7E225EA8B7C-L5.sgfs,1
adv-v8192,cp505-v32,w,cp505-v32,32,0,4,MCTS,b,adv-v8192,8192,0,0,4,EMCTS1,w,cp505-v32,adv-v8192,False,6.5,-6.5,-325.5,-319.0,,19,0,0,478,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/AA80F7E036798F19-L7.sgfs,1
adv-v8192,cp505-v32,w,cp505-v32,32,0,4,MCTS,b,adv-v8192,8192,0,0,4,EMCTS1,w,cp505-v32,adv-v8192,False,6.5,-6.5,-367.5,-361.0,,19,0,0,480,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/FEA0C28F2F450E4F-L2.sgfs,1
adv-v8192,cp505-v32,w,cp505-v32,32,0,4,MCTS,b,adv-v8192,8192,0,0,4,EMCTS1,w,cp505-v32,adv-v8192,False,6.5,-6.5,-335.5,-329.0,,19,0,0,454,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/14CB8A31767E5004-L9.sgfs,1
cp505-v32,adv-v8192,b,cp505-v32,32,0,4,MCTS,w,adv-v8192,8192,0,0,4,EMCTS1,b,cp505-v32,adv-v8192,False,6.5,6.5,-354.5,-361.0,,19,0,0,469,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/831BCBEC68B177F9-L4.sgfs,1
cp505-v32,adv-v8192,b,cp505-v32,32,0,4,MCTS,w,adv-v8192,8192,0,0,4,EMCTS1,b,cp505-v32,adv-v8192,False,6.5,6.5,-328.5,-335.0,,19,0,0,477,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/852B0BDBEAC031C9-L1.sgfs,1
cp505-v32,adv-v8192,b,cp505-v32,32,0,4,MCTS,w,adv-v8192,8192,0,0,4,EMCTS1,b,cp505-v32,adv-v8192,False,6.5,6.5,-354.5,-361.0,,19,0,0,469,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/0C2F063568842B71-L1.sgfs,1
cp505-v32,adv-v8192,b,cp505-v32,32,0,4,MCTS,w,adv-v8192,8192,0,0,4,EMCTS1,b,cp505-v32,adv-v8192,False,6.5,6.5,-354.5,-361.0,,19,0,0,515,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/B7D6357FEDFCF405-L6.sgfs,1
cp505-v32,adv-v8192,b,cp505-v32,32,0,4,MCTS,w,adv-v8192,8192,0,0,4,EMCTS1,b,cp505-v32,adv-v8192,False,6.5,6.5,-302.5,-309.0,,19,0,0,493,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,public/sgfs/32_visits_hardened/2A01A2EA997969AC-L3.sgfs,1
