b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,sgf_path,sgf_line
cp505-v64,adv-v1024,b,cp505-v64,64,0,4,MCTS,w,adv-v1024,1024,0,0,4,EMCTS1,b,cp505-v64,adv-v1024,False,6.5,6.5,-198.5,-205.0,19,0,0,401,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/00FB73C086F202A1.sgfs,1
cp505-v64,adv-v1024,b,cp505-v64,64,0,4,MCTS,w,adv-v1024,1024,0,0,4,EMCTS1,b,cp505-v64,adv-v1024,False,6.5,6.5,-192.5,-199.0,19,0,0,413,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/2132D23369A7A7FF.sgfs,1
cp505-v64,adv-v1024,b,cp505-v64,64,0,4,MCTS,w,adv-v1024,1024,0,0,4,EMCTS1,b,cp505-v64,adv-v1024,False,6.5,6.5,-200.5,-207.0,19,0,0,459,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/219DBF949E5229CB.sgfs,1
cp505-v64,adv-v1024,b,cp505-v64,64,0,4,MCTS,w,adv-v1024,1024,0,0,4,EMCTS1,b,cp505-v64,adv-v1024,False,6.5,6.5,-204.5,-211.0,19,0,0,391,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/02B74D9148F158A4.sgfs,1
cp505-v64,adv-v1024,b,cp505-v64,64,0,4,MCTS,w,adv-v1024,1024,0,0,4,EMCTS1,b,cp505-v64,adv-v1024,False,6.5,6.5,-198.5,-205.0,19,0,0,409,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/1F2744213F4A1059.sgfs,1
adv-v1024,cp505-v64,w,cp505-v64,64,0,4,MCTS,b,adv-v1024,1024,0,0,4,EMCTS1,b,adv-v1024,cp505-v64,True,6.5,-6.5,8.5,15.0,19,0,0,187,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/02BFDE5F2ABA9C17.sgfs,1
adv-v1024,cp505-v64,w,cp505-v64,64,0,4,MCTS,b,adv-v1024,1024,0,0,4,EMCTS1,b,adv-v1024,cp505-v64,True,6.5,-6.5,47.5,54.0,19,0,0,105,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/00909067ADE53F5A.sgfs,1
adv-v1024,cp505-v64,w,cp505-v64,64,0,4,MCTS,b,adv-v1024,1024,0,0,4,EMCTS1,b,adv-v1024,cp505-v64,True,6.5,-6.5,43.5,50.0,19,0,0,153,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/0EB3ADD4EAD8FE3F.sgfs,1
adv-v1024,cp505-v64,w,cp505-v64,64,0,4,MCTS,b,adv-v1024,1024,0,0,4,EMCTS1,b,adv-v1024,cp505-v64,True,6.5,-6.5,49.5,56.0,19,0,0,99,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/02EC7837398A88A5.sgfs,1
adv-v1024,cp505-v64,w,cp505-v64,64,0,4,MCTS,b,adv-v1024,1024,0,0,4,EMCTS1,b,adv-v1024,cp505-v64,True,6.5,-6.5,36.5,43.0,19,0,0,173,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,/Users/josephmiller/Documents/FAR/KataGoVisualizer/sgf-viewer/public/sgfs/64_visits/0BDC4333B1246AA1.sgfs,1
