b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
adv-s34090496-v200-AMCTS-R,cp505-v8,w,cp505-v8,8,0,1,MCTS,b,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,b,adv-s34090496-v200-AMCTS-R,cp505-v8,True,6.5,-6.5,24.5,31.0,,19,0,0,101,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/255D65B54C80B63C-L2.sgfs,1
adv-s34090496-v200-AMCTS-R,cp505-v8,w,cp505-v8,8,0,1,MCTS,b,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,b,adv-s34090496-v200-AMCTS-R,cp505-v8,True,6.5,-6.5,28.5,35.0,,19,0,0,119,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/A262DF8E9F1DB313-L1.sgfs,1
cp505-v8,adv-s34090496-v200-AMCTS-R,b,cp505-v8,8,0,1,MCTS,w,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,w,adv-s34090496-v200-AMCTS-R,cp505-v8,True,6.5,6.5,38.5,32.0,,19,0,0,106,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/4876135715F8EF63-L1.sgfs,1
cp505-v8,adv-s34090496-v200-AMCTS-R,b,cp505-v8,8,0,1,MCTS,w,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,w,adv-s34090496-v200-AMCTS-R,cp505-v8,True,6.5,6.5,45.5,39.0,,19,0,0,80,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/81BFB902057EAD6B-L4.sgfs,1
cp505-v8,adv-s34090496-v200-AMCTS-R,b,cp505-v8,8,0,1,MCTS,w,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,w,adv-s34090496-v200-AMCTS-R,cp505-v8,True,6.5,6.5,47.5,41.0,,19,0,0,98,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/DC2248371CC26E2A-L1.sgfs,1
cp505-v8,adv-s34090496-v200-AMCTS-R,b,cp505-v8,8,0,1,MCTS,w,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,w,adv-s34090496-v200-AMCTS-R,cp505-v8,True,6.5,6.5,47.5,41.0,,19,0,0,82,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/8EEBABA9C5B3A7FC-L2.sgfs,1
cp505-v8,adv-s34090496-v200-AMCTS-R,b,cp505-v8,8,0,1,MCTS,w,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,w,adv-s34090496-v200-AMCTS-R,cp505-v8,True,6.5,6.5,52.5,46.0,,19,0,0,80,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/9472DACCBBF272FB-L4.sgfs,1
adv-s34090496-v200-AMCTS-R,cp505-v8,w,cp505-v8,8,0,1,MCTS,b,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,w,cp505-v8,adv-s34090496-v200-AMCTS-R,False,6.5,-6.5,-238.5,-232.0,,19,0,0,415,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/2D7B37D38A30BFF5-L2.sgfs,1
adv-s34090496-v200-AMCTS-R,cp505-v8,w,cp505-v8,8,0,1,MCTS,b,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,w,cp505-v8,adv-s34090496-v200-AMCTS-R,False,6.5,-6.5,-223.5,-217.0,,19,0,0,384,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/F6DBA08D32F3161D-L2.sgfs,1
adv-s34090496-v200-AMCTS-R,cp505-v8,w,cp505-v8,8,0,1,MCTS,b,adv-s34090496-v200-AMCTS-R,200,34090496,0,1,AMCTS-R,w,cp505-v8,adv-s34090496-v200-AMCTS-R,False,6.5,-6.5,-215.5,-209.0,,19,0,0,403,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/attack/8_visits/5157F816018CB4D4-L1.sgfs,1
