b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
cont-s630m,b18-s8527m-v65536,w,b18-s8527m-v65536,65536,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,b,cont-s630m,b18-s8527m-v65536,True,6.5,-6.5,128.5,135.0,,19,0,0,308,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/0BD4B0BBA4122227-L6.sgfs,1
b18-s8527m-v65536,cont-s630m,b,b18-s8527m-v65536,65536,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,w,cont-s630m,b18-s8527m-v65536,True,6.5,6.5,115.5,109.0,,19,0,0,298,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/E4594730BD4B463B-L1.sgfs,1
b18-s8527m-v65536,cont-s630m,b,b18-s8527m-v65536,65536,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,w,cont-s630m,b18-s8527m-v65536,True,6.5,6.5,133.5,127.0,,19,0,0,312,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/E61F14B35A2F4C18-L3.sgfs,1
cont-s630m,b18-s8527m-v65536,w,b18-s8527m-v65536,65536,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,w,b18-s8527m-v65536,cont-s630m,False,6.5,-6.5,-281.5,-275.0,,19,0,0,468,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/2CA4C0F541303AFC-L3.sgfs,1
cont-s630m,b18-s8527m-v65536,w,b18-s8527m-v65536,65536,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,w,b18-s8527m-v65536,cont-s630m,False,6.5,-6.5,-219.5,-213.0,,19,0,0,392,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/EE4765DDC4C3CEC8-L4.sgfs,1
cont-s630m,b18-s8527m-v65536,w,b18-s8527m-v65536,65536,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,w,b18-s8527m-v65536,cont-s630m,False,6.5,-6.5,-183.5,-177.0,,19,0,0,430,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/2AA99D7D5D195D86-L2.sgfs,1
b18-s8527m-v65536,cont-s630m,b,b18-s8527m-v65536,65536,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,b,b18-s8527m-v65536,cont-s630m,False,6.5,6.5,-246.5,-253.0,,19,0,0,469,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/32234108DFCBA27B-L4.sgfs,1
b18-s8527m-v65536,cont-s630m,b,b18-s8527m-v65536,65536,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,b,b18-s8527m-v65536,cont-s630m,False,6.5,6.5,-240.5,-247.0,,19,0,0,443,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/6FF122FC255F5F85-L2.sgfs,1
b18-s8527m-v65536,cont-s630m,b,b18-s8527m-v65536,65536,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,b,b18-s8527m-v65536,cont-s630m,False,6.5,6.5,-216.5,-223.0,,19,0,0,431,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/C3224EDB24EE96AB-L1.sgfs,1
b18-s8527m-v65536,cont-s630m,b,b18-s8527m-v65536,65536,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,b,b18-s8527m-v65536,cont-s630m,False,6.5,6.5,-212.5,-219.0,,19,0,0,425,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/75E9879182E9E4D4-L2.sgfs,1
