b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
cont-s630m,b18-s8527m-v8192,w,b18-s8527m-v8192,8192,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,b,cont-s630m,b18-s8527m-v8192,True,6.5,-6.5,96.5,103.0,,19,0,0,296,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/A85188F8DEC98C13-L2.sgfs,1
cont-s630m,b18-s8527m-v8192,w,b18-s8527m-v8192,8192,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,b,cont-s630m,b18-s8527m-v8192,True,6.5,-6.5,160.5,167.0,,19,0,0,315,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/0FA7A93030D755E0-L3.sgfs,1
cont-s630m,b18-s8527m-v8192,w,b18-s8527m-v8192,8192,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,b,cont-s630m,b18-s8527m-v8192,True,6.5,-6.5,162.5,169.0,,19,0,0,289,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/A45BDE3B9D8964E7-L5.sgfs,1
b18-s8527m-v8192,cont-s630m,b,b18-s8527m-v8192,8192,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,w,cont-s630m,b18-s8527m-v8192,True,6.5,6.5,131.5,125.0,,19,0,0,297,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/C555DF5A8DFDD757-L8.sgfs,1
b18-s8527m-v8192,cont-s630m,b,b18-s8527m-v8192,8192,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,w,cont-s630m,b18-s8527m-v8192,True,6.5,6.5,133.5,127.0,,19,0,0,307,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/9689E59C2BE93D63-L4.sgfs,1
b18-s8527m-v8192,cont-s630m,b,b18-s8527m-v8192,8192,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,w,cont-s630m,b18-s8527m-v8192,True,6.5,6.5,135.5,129.0,,19,0,0,306,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/5E84E6C038439BA5-L3.sgfs,1
cont-s630m,b18-s8527m-v8192,w,b18-s8527m-v8192,8192,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,w,b18-s8527m-v8192,cont-s630m,False,6.5,-6.5,-187.5,-181.0,,19,0,0,339,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/A64B2F59F89A63A3-L5.sgfs,1
cont-s630m,b18-s8527m-v8192,w,b18-s8527m-v8192,8192,8527m,1,MCTS,b,cont-s630m,600,0,0,1,AMCTS,w,b18-s8527m-v8192,cont-s630m,False,6.5,-6.5,-121.5,-115.0,,19,0,0,387,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/4A392658A2002C3C-L7.sgfs,1
b18-s8527m-v8192,cont-s630m,b,b18-s8527m-v8192,8192,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,b,b18-s8527m-v8192,cont-s630m,False,6.5,6.5,-188.5,-195.0,,19,0,0,383,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/5A01DD4E71A5BBBF-L8.sgfs,1
b18-s8527m-v8192,cont-s630m,b,b18-s8527m-v8192,8192,8527m,1,MCTS,w,cont-s630m,600,0,0,1,AMCTS,b,b18-s8527m-v8192,cont-s630m,False,6.5,6.5,-96.5,-103.0,,19,0,0,329,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-continuous/A45BDE3B9D8964E7-L2.sgfs,1
