b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
attack-b18-s651m,b18-s8527m-v512,w,b18-s8527m-v512,512,8527m,1,MCTS,b,attack-b18-s651m,600,0,0,1,AMCTS,b,attack-b18-s651m,b18-s8527m-v512,True,6.5,-6.5,10.5,17.0,,19,0,0,415,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/D86D4196ABB29167-L9.sgfs,1
attack-b18-s651m,b18-s8527m-v512,w,b18-s8527m-v512,512,8527m,1,MCTS,b,attack-b18-s651m,600,0,0,1,AMCTS,b,attack-b18-s651m,b18-s8527m-v512,True,6.5,-6.5,32.5,39.0,,19,0,0,319,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/7904F641B0F49C15-L8.sgfs,1
attack-b18-s651m,b18-s8527m-v512,w,b18-s8527m-v512,512,8527m,1,MCTS,b,attack-b18-s651m,600,0,0,1,AMCTS,b,attack-b18-s651m,b18-s8527m-v512,True,6.5,-6.5,38.5,45.0,,19,0,0,381,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/6B78E25C43C0230E-L7.sgfs,1
attack-b18-s651m,b18-s8527m-v512,w,b18-s8527m-v512,512,8527m,1,MCTS,b,attack-b18-s651m,600,0,0,1,AMCTS,b,attack-b18-s651m,b18-s8527m-v512,True,6.5,-6.5,56.5,63.0,,19,0,0,310,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/D505DB926A58C941-L9.sgfs,1
b18-s8527m-v512,attack-b18-s651m,b,b18-s8527m-v512,512,8527m,1,MCTS,w,attack-b18-s651m,600,0,0,1,AMCTS,w,attack-b18-s651m,b18-s8527m-v512,True,6.5,6.5,22.5,16.0,,19,0,0,289,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/5ECE47A6452033B6-L3.sgfs,1
b18-s8527m-v512,attack-b18-s651m,b,b18-s8527m-v512,512,8527m,1,MCTS,w,attack-b18-s651m,600,0,0,1,AMCTS,w,attack-b18-s651m,b18-s8527m-v512,True,6.5,6.5,25.5,19.0,,19,0,0,352,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/A6508A2FA55183D8-L5.sgfs,1
b18-s8527m-v512,attack-b18-s651m,b,b18-s8527m-v512,512,8527m,1,MCTS,w,attack-b18-s651m,600,0,0,1,AMCTS,w,attack-b18-s651m,b18-s8527m-v512,True,6.5,6.5,43.5,37.0,,19,0,0,368,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/69B1CE76A02E7F94-L5.sgfs,1
b18-s8527m-v512,attack-b18-s651m,b,b18-s8527m-v512,512,8527m,1,MCTS,w,attack-b18-s651m,600,0,0,1,AMCTS,w,attack-b18-s651m,b18-s8527m-v512,True,6.5,6.5,53.5,47.0,,19,0,0,291,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/86CC6B69BD6A48EB-L2.sgfs,1
b18-s8527m-v512,attack-b18-s651m,b,b18-s8527m-v512,512,8527m,1,MCTS,w,attack-b18-s651m,600,0,0,1,AMCTS,w,attack-b18-s651m,b18-s8527m-v512,True,6.5,6.5,105.5,99.0,,19,0,0,367,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/7B2841E33DC94115-L6.sgfs,1
attack-b18-s651m,b18-s8527m-v512,w,b18-s8527m-v512,512,8527m,1,MCTS,b,attack-b18-s651m,600,0,0,1,AMCTS,w,b18-s8527m-v512,attack-b18-s651m,False,6.5,-6.5,-61.5,-55.0,,19,0,0,308,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/dec23-vs-gift/2AD4B59995282AC9-L3.sgfs,1
