b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
h5-v16,r4-v600,b,h5-v16,16,0,1,MCTS,w,r4-v600,600,0,0,1,AMCTS,w,r4-v600,h5-v16,True,6.5,6.5,23.5,17.0,,19,0,0,345,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/EC296EDFBDCCF3FC-L2.sgfs,1
r4-v600,h5-v16,w,h5-v16,16,0,1,MCTS,b,r4-v600,600,0,0,1,AMCTS,w,h5-v16,r4-v600,False,6.5,-6.5,-140.5,-134.0,,19,0,0,364,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/5A263C6B7B7D7108-L2.sgfs,1
r4-v600,h5-v16,w,h5-v16,16,0,1,MCTS,b,r4-v600,600,0,0,1,AMCTS,w,h5-v16,r4-v600,False,6.5,-6.5,-129.5,-123.0,,19,0,0,312,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/7FB38088A53D1EC6-L2.sgfs,1
r4-v600,h5-v16,w,h5-v16,16,0,1,MCTS,b,r4-v600,600,0,0,1,AMCTS,w,h5-v16,r4-v600,False,6.5,-6.5,-123.5,-117.0,,19,0,0,296,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/64ED904BCD12F606-L1.sgfs,1
r4-v600,h5-v16,w,h5-v16,16,0,1,MCTS,b,r4-v600,600,0,0,1,AMCTS,w,h5-v16,r4-v600,False,6.5,-6.5,-121.5,-115.0,,19,0,0,350,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/D22DC3666EB317F5-L2.sgfs,1
r4-v600,h5-v16,w,h5-v16,16,0,1,MCTS,b,r4-v600,600,0,0,1,AMCTS,w,h5-v16,r4-v600,False,6.5,-6.5,-106.5,-100.0,,19,0,0,315,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/179E47EDD69F411D-L2.sgfs,1
r4-v600,h5-v16,w,h5-v16,16,0,1,MCTS,b,r4-v600,600,0,0,1,AMCTS,w,h5-v16,r4-v600,False,6.5,-6.5,-83.5,-77.0,,19,0,0,266,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/8902EA8946B1D903-L2.sgfs,1
h5-v16,r4-v600,b,h5-v16,16,0,1,MCTS,w,r4-v600,600,0,0,1,AMCTS,b,h5-v16,r4-v600,False,6.5,6.5,-118.5,-125.0,,19,0,0,331,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/361C4B618D5A779F-L2.sgfs,1
h5-v16,r4-v600,b,h5-v16,16,0,1,MCTS,w,r4-v600,600,0,0,1,AMCTS,b,h5-v16,r4-v600,False,6.5,6.5,-110.5,-117.0,,19,0,0,351,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/A81E7443E64C77C1-L2.sgfs,1
h5-v16,r4-v600,b,h5-v16,16,0,1,MCTS,w,r4-v600,600,0,0,1,AMCTS,b,h5-v16,r4-v600,False,6.5,6.5,-108.5,-115.0,,19,0,0,295,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v5-vs-a4/ED3723BAFA879816-L2.sgfs,1
