b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
big-s216m,b18-s9997m-v65536,w,b18-s9997m-v65536,65536,9997m,1,MCTS,b,large-s216m,600,0,0,1,AMCTS,b,large-s216m,b18-s9997m-v65536,True,6.5,-6.5,120.5,127.0,,19,0,0,382,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/BEE1AB6D3B3B44CE-L2.sgfs,1
big-s216m,b18-s9997m-v65536,w,b18-s9997m-v65536,65536,9997m,1,MCTS,b,large-s216m,600,0,0,1,AMCTS,b,large-s216m,b18-s9997m-v65536,True,6.5,-6.5,126.5,133.0,,19,0,0,379,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/8EDE390730188173-L2.sgfs,1
big-s216m,b18-s9997m-v65536,w,b18-s9997m-v65536,65536,9997m,1,MCTS,b,large-s216m,600,0,0,1,AMCTS,b,large-s216m,b18-s9997m-v65536,True,6.5,-6.5,154.5,161.0,,19,0,0,324,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/4D212F0EB256CA2A-L1.sgfs,1
b18-s9997m-v65536,big-s216m,b,b18-s9997m-v65536,65536,9997m,1,MCTS,w,large-s216m,600,0,0,1,AMCTS,w,large-s216m,b18-s9997m-v65536,True,6.5,6.5,131.5,125.0,,19,0,0,380,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/0CB234E5751D6A6B-L1.sgfs,1
b18-s9997m-v65536,big-s216m,b,b18-s9997m-v65536,65536,9997m,1,MCTS,w,large-s216m,600,0,0,1,AMCTS,w,large-s216m,b18-s9997m-v65536,True,6.5,6.5,179.5,173.0,,19,0,0,342,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/83EF172F2B291E03-L2.sgfs,1
b18-s9997m-v65536,big-s216m,b,b18-s9997m-v65536,65536,9997m,1,MCTS,w,large-s216m,600,0,0,1,AMCTS,b,b18-s9997m-v65536,large-s216m,False,6.5,6.5,-158.5,-165.0,,19,0,0,477,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/A80363E37DCF380B-L1.sgfs,1
b18-s9997m-v65536,big-s216m,b,b18-s9997m-v65536,65536,9997m,1,MCTS,w,large-s216m,600,0,0,1,AMCTS,b,b18-s9997m-v65536,large-s216m,False,6.5,6.5,-148.5,-155.0,,19,0,0,415,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/8EDE390730188173-L1.sgfs,1
b18-s9997m-v65536,big-s216m,b,b18-s9997m-v65536,65536,9997m,1,MCTS,w,large-s216m,600,0,0,1,AMCTS,b,b18-s9997m-v65536,large-s216m,False,6.5,6.5,-132.5,-139.0,,19,0,0,487,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/A127B0E14CA8B587-L2.sgfs,1
b18-s9997m-v65536,big-s216m,b,b18-s9997m-v65536,65536,9997m,1,MCTS,w,large-s216m,600,0,0,1,AMCTS,b,b18-s9997m-v65536,large-s216m,False,6.5,6.5,-106.5,-113.0,,19,0,0,481,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/8736B02ED56EACB0-L4.sgfs,1
b18-s9997m-v65536,big-s216m,b,b18-s9997m-v65536,65536,9997m,1,MCTS,w,large-s216m,600,0,0,1,AMCTS,b,b18-s9997m-v65536,large-s216m,False,6.5,6.5,-88.5,-95.0,,19,0,0,449,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/may24-vs-large/D8B60438C3EC9EEA-L2.sgfs,1
