b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
r3-v600,h3-v16,w,h3-v16,16,0,1,MCTS,b,r3-v600,600,0,0,1,AMCTS,b,r3-v600,h3-v16,True,6.5,-6.5,52.5,59.0,,19,0,0,307,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/1FF513DCC4F7EEA6-L2.sgfs,1
r3-v600,h3-v16,w,h3-v16,16,0,1,MCTS,b,r3-v600,600,0,0,1,AMCTS,b,r3-v600,h3-v16,True,6.5,-6.5,62.5,69.0,,19,0,0,298,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/CBFE473544B146BA-L2.sgfs,1
r3-v600,h3-v16,w,h3-v16,16,0,1,MCTS,b,r3-v600,600,0,0,1,AMCTS,b,r3-v600,h3-v16,True,6.5,-6.5,80.5,87.0,,19,0,0,324,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/4010381120F0E862-L2.sgfs,1
h3-v16,r3-v600,b,h3-v16,16,0,1,MCTS,w,r3-v600,600,0,0,1,AMCTS,w,r3-v600,h3-v16,True,6.5,6.5,23.5,17.0,,19,0,0,279,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/4A8BA13314F3BD06-L2.sgfs,1
h3-v16,r3-v600,b,h3-v16,16,0,1,MCTS,w,r3-v600,600,0,0,1,AMCTS,w,r3-v600,h3-v16,True,6.5,6.5,59.5,53.0,,19,0,0,291,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/06BB05D37AA435D7-L2.sgfs,1
h3-v16,r3-v600,b,h3-v16,16,0,1,MCTS,w,r3-v600,600,0,0,1,AMCTS,w,r3-v600,h3-v16,True,6.5,6.5,71.5,65.0,,19,0,0,325,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/7B67901F5927EBC7-L2.sgfs,1
h3-v16,r3-v600,b,h3-v16,16,0,1,MCTS,w,r3-v600,600,0,0,1,AMCTS,w,r3-v600,h3-v16,True,6.5,6.5,85.5,79.0,,19,0,0,297,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/755DA350D823C095-L2.sgfs,1
h3-v16,r3-v600,b,h3-v16,16,0,1,MCTS,w,r3-v600,600,0,0,1,AMCTS,w,r3-v600,h3-v16,True,6.5,6.5,95.5,89.0,,19,0,0,289,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/3D3971386B000621-L2.sgfs,1
r3-v600,h3-v16,w,h3-v16,16,0,1,MCTS,b,r3-v600,600,0,0,1,AMCTS,w,h3-v16,r3-v600,False,6.5,-6.5,-159.5,-153.0,,19,0,0,308,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/2A68C28E6E1CB261-L1.sgfs,1
r3-v600,h3-v16,w,h3-v16,16,0,1,MCTS,b,r3-v600,600,0,0,1,AMCTS,w,h3-v16,r3-v600,False,6.5,-6.5,-3.5,3.0,,19,0,0,354,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/per-iteration-v3-vs-a3/4C684E9151545F8A-L2.sgfs,1
