b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
"""adversary""","""victim""",w,"""victim""",1600,0,1,MCTS,b,"""adversary""",200,0,0,1,EMCTS1,b,"""adversary""","""victim""",True,6.5,-6.5,38.5,45.0,,19,0,0,316,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/F15A82698AC1537184C30E2A2D1A4603.sgf,1
"""adversary""","""victim""",w,"""victim""",1600,0,1,MCTS,b,"""adversary""",200,0,0,1,EMCTS1,b,"""adversary""","""victim""",True,6.5,-6.5,40.5,47.0,,19,0,0,326,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/0107B1AE44B5395A6EAABFBEC119E664.sgf,1
"""adversary""","""victim""",w,"""victim""",1600,0,1,MCTS,b,"""adversary""",200,0,0,1,EMCTS1,b,"""adversary""","""victim""",True,6.5,-6.5,56.5,63.0,,19,0,0,326,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/BAE6EE5C6A92A349F5C3F40A5A749D3D.sgf,1
"""adversary""","""victim""",w,"""victim""",1600,0,1,MCTS,b,"""adversary""",200,0,0,1,EMCTS1,b,"""adversary""","""victim""",True,6.5,-6.5,58.5,65.0,,19,0,0,335,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/D21A3637ED1950A3F5E2ECBD067192D3.sgf,1
"""adversary""","""victim""",w,"""victim""",1600,0,1,MCTS,b,"""adversary""",200,0,0,1,EMCTS1,b,"""adversary""","""victim""",True,6.5,-6.5,84.5,91.0,,19,0,0,274,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/F60F14F76A3EC9374AEC037F61DF35ED.sgf,1
"""adversary""","""victim""",w,"""victim""",1600,0,1,MCTS,b,"""adversary""",200,0,0,1,EMCTS1,b,"""adversary""","""victim""",True,6.5,-6.5,98.5,105.0,,19,0,0,333,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/B303C7624A8D43C86218D8A090A89432.sgf,1
"""adversary""","""victim""",w,"""victim""",1600,0,1,MCTS,b,"""adversary""",200,0,0,1,EMCTS1,b,"""adversary""","""victim""",True,6.5,-6.5,116.5,123.0,,19,0,0,336,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/667CF02E24A2FD141A82C5D1755A2AE2.sgf,1
"""victim""","""adversary""",b,"""victim""",1600,0,1,MCTS,w,"""adversary""",200,0,0,1,EMCTS1,w,"""adversary""","""victim""",True,6.5,6.5,27.5,21.0,,19,0,0,333,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/9BD1667E79D20D46FB261E22A2478C4F.sgf,1
"""victim""","""adversary""",b,"""victim""",1600,0,1,MCTS,w,"""adversary""",200,0,0,1,EMCTS1,w,"""adversary""","""victim""",True,6.5,6.5,91.5,85.0,,19,0,0,269,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/A4F97F173E7FFD4DA8EA0B44CC498217.sgf,1
"""victim""","""adversary""",b,"""victim""",1600,0,1,MCTS,w,"""adversary""",200,0,0,1,EMCTS1,w,"""adversary""","""victim""",True,6.5,6.5,93.5,87.0,,19,0,0,297,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/position-analysis/8A7C8591E9B7308CF65E0F1EDC3160E7.sgf,1
