b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,12.5,19.0,,19,,0,403,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/1164AC2BCAE850FD-L1.sgfs,1
adv-s498648832-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s498648832-v600,600,498648832,0,1,EMCTS1,b,adv-s498648832-v600,cp505h-v1,True,6.5,-6.5,48.5,55.0,,19,0,0,328,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games/06576782CC5D0B54-L4.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,52.5,59.0,,19,,0,349,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/32FABB84AF6C08C6-L1.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,56.5,63.0,,19,,0,369,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/24690BE630FBC1F0-L3.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,60.5,67.0,,19,,0,350,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/AEC85127FA0F0979-L1.sgfs,1
adv-s498648832-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s498648832-v600,600,498648832,0,1,EMCTS1,b,adv-s498648832-v600,cp505h-v2048,True,6.5,-6.5,74.5,81.0,,19,0,0,375,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games/943C71F34118E346-L4.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,74.5,81.0,,19,,0,387,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/8C98368414D752E0-L1.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,74.5,81.0,,19,,0,367,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/37D0B8CF2CA02A91-L1.sgfs,1
adv-s498648832-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s498648832-v600,600,498648832,0,1,EMCTS1,b,adv-s498648832-v600,cp505h-v1,True,6.5,-6.5,80.5,87.0,,19,0,0,349,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games/ACD93F53735E3FA2-L3.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,86.5,93.0,,19,,0,359,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/F95FEF2F7BFA1BA1-L1.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,86.5,93.0,,19,,0,475,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/953332D81C0D858F-L2.sgfs,1
adv-s498648832-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s498648832-v600,600,498648832,0,1,EMCTS1,b,adv-s498648832-v600,cp505h-v2048,True,6.5,-6.5,88.5,95.0,,19,0,0,341,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games/D8F425724FAA4D05-L2.sgfs,1
adv-s498648832-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s498648832-v600,600,498648832,0,1,EMCTS1,b,adv-s498648832-v600,cp127h-v1,True,6.5,-6.5,88.5,95.0,,19,0,0,343,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games/A631F008C596648C-L1.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,90.5,97.0,,19,,0,367,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/EEDEA52A7636AD25-L1.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,98.5,105.0,,19,,0,363,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/FDAA823C4E0D8EF8-L2.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,98.5,105.0,,19,,0,372,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/4506D13925762801-L1.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,100.5,107.0,,19,,0,369,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/7469C7CBB6A03D3E-L4.sgfs,1
Adversary,Victim,w,Victim,1,0,,,b,Adversary,,0,0,,,b,Adversary,Victim,True,6.5,-6.5,106.5,113.0,,19,,0,439,POSITIONAL,AREA,NONE,True,False,0,False,,False,,False,False,public/sgfs/training_sample_games/3F2F5FD46158D385-L1.sgfs,1
