b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
adv-s297106432-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp127h-v1,True,6.5,-6.5,74.5,81.0,,19,0,0,387,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/8C98368414D752E0-L1.sgfs,1
adv-s297106432-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp127h-v1,True,6.5,-6.5,86.5,93.0,,19,0,0,359,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/F95FEF2F7BFA1BA1-L1.sgfs,1
adv-s297106432-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp505h-v1,True,6.5,-6.5,98.5,105.0,,19,0,0,363,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/FDAA823C4E0D8EF8-L2.sgfs,1
adv-s297106432-v600,cp127h-v1,w,cp127h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp127h-v1,True,6.5,-6.5,132.5,139.0,,19,0,0,391,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/BEA280FDCBCFBC60-L5.sgfs,1
adv-s297106432-v600,cp505h-v1,w,cp505h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,adv-s297106432-v600,cp505h-v1,True,6.5,-6.5,168.5,175.0,,19,0,0,421,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/7D35DB5EE6227647-L1.sgfs,1
adv-s297106432-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,cp505h-v2048,adv-s297106432-v600,False,6.5,-6.5,-367.5,-361.0,,19,0,0,648,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/0FD0A936A0187CA4-L4.sgfs,1
adv-s297106432-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,cp505h-v2048,adv-s297106432-v600,False,6.5,-6.5,-279.5,-273.0,,19,0,0,444,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/2F7F361286148E69-L2.sgfs,1
adv-s297106432-v600,cp505h-v2048,w,cp505h-v2048,2048,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,cp505h-v2048,adv-s297106432-v600,False,6.5,-6.5,-279.5,-273.0,,19,0,0,498,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/0FCED8F338CE94D4-L1.sgfs,1
adv-s297106432-v600,cp39h-v1,w,cp39h-v1,1,0,1,MCTS,b,adv-s297106432-v600,600,297106432,0,1,EMCTS1,w,cp39h-v1,adv-s297106432-v600,False,6.5,-6.5,-181.5,-175.0,,19,0,0,483,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/75A9283095C73354-L5.sgfs,1
cp505h-v2048,adv-s297106432-v600,b,cp505h-v2048,2048,0,1,MCTS,w,adv-s297106432-v600,600,297106432,0,1,EMCTS1,b,cp505h-v2048,adv-s297106432-v600,False,6.5,6.5,-248.5,-255.0,,19,0,0,472,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/training_sample_games6/54ED29D782A3A6DB-L2.sgfs,1
