b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
r9-v600,h9-v65536,w,h9-v65536,65536,0,1,MCTS,b,r9-v600,600,0,0,1,AMCTS,b,r9-v600,h9-v65536,True,6.5,-6.5,22.5,29.0,,19,0,0,324,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/A94F7F5D055B966F-L1.sgfs,1
r9-v600,h9-v65536,w,h9-v65536,65536,0,1,MCTS,b,r9-v600,600,0,0,1,AMCTS,b,r9-v600,h9-v65536,True,6.5,-6.5,22.5,29.0,,19,0,0,398,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/919474FB7AAC68E1-L1.sgfs,1
r9-v600,h9-v65536,w,h9-v65536,65536,0,1,MCTS,b,r9-v600,600,0,0,1,AMCTS,b,r9-v600,h9-v65536,True,6.5,-6.5,100.5,107.0,,19,0,0,364,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/C693F03DDB590297-L1.sgfs,1
h9-v65536,r9-v600,b,h9-v65536,65536,0,1,MCTS,w,r9-v600,600,0,0,1,AMCTS,w,r9-v600,h9-v65536,True,6.5,6.5,9.5,3.0,,19,0,0,347,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/53AF1F092374B024-L1.sgfs,1
h9-v65536,r9-v600,b,h9-v65536,65536,0,1,MCTS,w,r9-v600,600,0,0,1,AMCTS,w,r9-v600,h9-v65536,True,6.5,6.5,97.5,91.0,,19,0,0,371,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/CA5D94924BCB7614-L1.sgfs,1
r9-v600,h9-v65536,w,h9-v65536,65536,0,1,MCTS,b,r9-v600,600,0,0,1,AMCTS,w,h9-v65536,r9-v600,False,6.5,-6.5,-325.5,-319.0,,19,0,0,452,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/835C6CBEB7B8A0D8-L1.sgfs,1
r9-v600,h9-v65536,w,h9-v65536,65536,0,1,MCTS,b,r9-v600,600,0,0,1,AMCTS,w,h9-v65536,r9-v600,False,6.5,-6.5,-271.5,-265.0,,19,0,0,398,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/9086CD55B4C2AB55-L1.sgfs,1
h9-v65536,r9-v600,b,h9-v65536,65536,0,1,MCTS,w,r9-v600,600,0,0,1,AMCTS,b,h9-v65536,r9-v600,False,6.5,6.5,-354.5,-361.0,,19,0,0,463,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/D3CA84C12B1833EE-L1.sgfs,1
h9-v65536,r9-v600,b,h9-v65536,65536,0,1,MCTS,w,r9-v600,600,0,0,1,AMCTS,b,h9-v65536,r9-v600,False,6.5,6.5,-168.5,-175.0,,19,0,0,353,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/09369F890E8F571A-L1.sgfs,1
h9-v65536,r9-v600,b,h9-v65536,65536,0,1,MCTS,w,r9-v600,600,0,0,1,AMCTS,b,h9-v65536,r9-v600,False,6.5,6.5,-118.5,-125.0,,19,0,0,345,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-a9/B9EA07EF14A6252F-L1.sgfs,1
