b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
attack-ft-h9-s97114624-v600-AMCTS,h9-v512,w,h9-v512,512,0,1,MCTS,b,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,b,attack-ft-h9-s97114624-v600-AMCTS,h9-v512,True,6.5,-6.5,72.5,79.0,,19,0,0,354,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/4486B179AC67B269-L8.sgfs,1
attack-ft-h9-s97114624-v600-AMCTS,h9-v512,w,h9-v512,512,0,1,MCTS,b,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,b,attack-ft-h9-s97114624-v600-AMCTS,h9-v512,True,6.5,-6.5,96.5,103.0,,19,0,0,322,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/F835D8246453F61E-L6.sgfs,1
attack-ft-h9-s97114624-v600-AMCTS,h9-v512,w,h9-v512,512,0,1,MCTS,b,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,b,attack-ft-h9-s97114624-v600-AMCTS,h9-v512,True,6.5,-6.5,128.5,135.0,,19,0,0,367,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/26FF4DE88F7B80E5-L6.sgfs,1
attack-ft-h9-s97114624-v600-AMCTS,h9-v512,w,h9-v512,512,0,1,MCTS,b,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,b,attack-ft-h9-s97114624-v600-AMCTS,h9-v512,True,6.5,-6.5,174.5,181.0,,19,0,0,357,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/4FF021B5FEBD34FA-L8.sgfs,1
h9-v512,attack-ft-h9-s97114624-v600-AMCTS,b,h9-v512,512,0,1,MCTS,w,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,w,attack-ft-h9-s97114624-v600-AMCTS,h9-v512,True,6.5,6.5,85.5,79.0,,19,0,6,337,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/354CAC78BB59267D-L1.sgfs,1
h9-v512,attack-ft-h9-s97114624-v600-AMCTS,b,h9-v512,512,0,1,MCTS,w,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,w,attack-ft-h9-s97114624-v600-AMCTS,h9-v512,True,6.5,6.5,141.5,135.0,,19,0,5,350,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/1F4C87C39A93297B-L2.sgfs,1
h9-v512,attack-ft-h9-s97114624-v600-AMCTS,b,h9-v512,512,0,1,MCTS,w,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,w,attack-ft-h9-s97114624-v600-AMCTS,h9-v512,True,6.5,6.5,151.5,145.0,,19,0,5,352,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/F8BD6EC8E34E731E-L3.sgfs,1
h9-v512,attack-ft-h9-s97114624-v600-AMCTS,b,h9-v512,512,0,1,MCTS,w,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,w,attack-ft-h9-s97114624-v600-AMCTS,h9-v512,True,6.5,6.5,199.5,193.0,,19,0,4,354,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/69420E7F02BD6F34-L1.sgfs,1
h9-v512,attack-ft-h9-s97114624-v600-AMCTS,b,h9-v512,512,0,1,MCTS,w,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,b,h9-v512,attack-ft-h9-s97114624-v600-AMCTS,False,6.5,6.5,-194.5,-201.0,,19,0,6,279,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/66691A5DE7E9F14B-L2.sgfs,1
h9-v512,attack-ft-h9-s97114624-v600-AMCTS,b,h9-v512,512,0,1,MCTS,w,attack-ft-h9-s97114624-v600-AMCTS,600,97114624,0,1,AMCTS,b,h9-v512,attack-ft-h9-s97114624-v600-AMCTS,False,6.5,6.5,-26.5,-33.0,,19,0,5,369,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/v9-vs-stall/6101158ACA9ECD02-L4.sgfs,1
