b_name,w_name,victim_color,victim_name,victim_visits,victim_steps,victim_rsym,victim_algo,adv_color,adv_name,adv_visits,adv_steps,adv_samples,adv_rsym,adv_algo,win_color,win_name,lose_name,adv_win,komi,adv_komi,adv_minus_victim_score,adv_minus_victim_score_wo_komi,train_status,board_size,start_turn_idx,handicap,num_moves,ko_rule,score_rule,tax_rule,sui_legal,has_button,whb,fpok,init_turn_num,used_initial_position,gtype,is_continuation,is_resignation,sgf_path,sgf_line
attack-vit-s326m,vit-v65536,w,vit-v65536,65536,0,1,MCTS,b,attack-vit-s326m,600,0,0,1,AMCTS,b,attack-vit-s326m,vit-v65536,True,6.5,-6.5,82.5,89.0,,19,0,0,385,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/700DE5C22124458D-L1.sgfs,1
attack-vit-s326m,vit-v65536,w,vit-v65536,65536,0,1,MCTS,b,attack-vit-s326m,600,0,0,1,AMCTS,b,attack-vit-s326m,vit-v65536,True,6.5,-6.5,98.5,105.0,,19,0,0,411,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/5B3F5521E58C2E3D-L1.sgfs,1
attack-vit-s326m,vit-v65536,w,vit-v65536,65536,0,1,MCTS,b,attack-vit-s326m,600,0,0,1,AMCTS,b,attack-vit-s326m,vit-v65536,True,6.5,-6.5,108.5,115.0,,19,0,0,385,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/CAD4C0DAED91A51E-L1.sgfs,1
attack-vit-s326m,vit-v65536,w,vit-v65536,65536,0,1,MCTS,b,attack-vit-s326m,600,0,0,1,AMCTS,b,attack-vit-s326m,vit-v65536,True,6.5,-6.5,108.5,115.0,,19,0,0,427,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/46C2879DA94D0D10-L1.sgfs,1
attack-vit-s326m,vit-v65536,w,vit-v65536,65536,0,1,MCTS,b,attack-vit-s326m,600,0,0,1,AMCTS,b,attack-vit-s326m,vit-v65536,True,6.5,-6.5,114.5,121.0,,19,0,0,351,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/8BCE190982338B60-L1.sgfs,1
vit-v65536,attack-vit-s326m,b,vit-v65536,65536,0,1,MCTS,w,attack-vit-s326m,600,0,0,1,AMCTS,w,attack-vit-s326m,vit-v65536,True,6.5,6.5,61.5,55.0,,19,0,0,438,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/DA3295A310114B0D-L1.sgfs,1
vit-v65536,attack-vit-s326m,b,vit-v65536,65536,0,1,MCTS,w,attack-vit-s326m,600,0,0,1,AMCTS,w,attack-vit-s326m,vit-v65536,True,6.5,6.5,121.5,115.0,,19,0,0,378,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/37D86C6B695F63C8-L1.sgfs,1
attack-vit-s326m,vit-v65536,w,vit-v65536,65536,0,1,MCTS,b,attack-vit-s326m,600,0,0,1,AMCTS,w,vit-v65536,attack-vit-s326m,False,6.5,-6.5,-267.5,-261.0,,19,0,0,564,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/B482D8F109C2FA65-L1.sgfs,1
vit-v65536,attack-vit-s326m,b,vit-v65536,65536,0,1,MCTS,w,attack-vit-s326m,600,0,0,1,AMCTS,b,vit-v65536,attack-vit-s326m,False,6.5,6.5,-118.5,-125.0,,19,0,0,433,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/A53F05A7B6C17A09-L1.sgfs,1
vit-v65536,attack-vit-s326m,b,vit-v65536,65536,0,1,MCTS,w,attack-vit-s326m,600,0,0,1,AMCTS,b,vit-v65536,attack-vit-s326m,False,6.5,6.5,-100.5,-107.0,,19,0,0,377,POSITIONAL,AREA,NONE,True,False,0,False,0,False,normal,False,False,public/sgfs/vit-vs-vit-adversary/074849101B44B932-L1.sgfs,1
